sentence,label
"Wczoraj coś mi się śniło, ale nie pamiętam co.","Wczoraj coś mi się śniło, ale nie pamiętam co mi się śniło."
"Przyprawię zupę najpierw papryką, i potem pieprzem.","Przyprawię zupę najpierw papryką, i potem pieprzem."
"Jerzy mieszka w Łodzi, a Mateusz w Warszawie.","Jerzy mieszka w Łodzi, a Mateusz mieszka w Warszawie."
"Ja mam sprzątnąć pokój dziś, a ty _ jutro.","Ja mam sprzątnąć pokój dziś, a ty masz sprzątnąć jutro."
"Jan pisze wiersze, a Bartek powieści.","Jan pisze wiersze, a Bartek pisze powieści."
Maria lubi dzwonić do Iwana a nie do Piotra.,Maria lubi dzwonić do Iwana a nie do Piotra.
"Ojciec zawsze narzeka, a ja nigdy nie.","Ojciec zawsze narzeka, a ja nigdy nie narzekam."
"Moja matka chce nowy komputer, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowy komputer, ale jeszcze nie wie, jakiej marki chce komputer."
"Nie chciałem, ale wczoraj poszliśmy do kina.","Nie chciałem, ale wczoraj poszliśmy do kina."
A Nina na pianinie.,A Nina gra na pianinie.
"A więc: ty idziesz do kierowca, a ja na koniec autobusa.","A więc: ty idziesz do kierowca, a ja na koniec autobusa idę."
"On mówi z obcym akcentem, ale nie wiemy dlaczego.","On mówi z obcym akcentem, ale nie wiemy, dlaczego on mówi z obcym akcentem."
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.","Piotr wyleciał ze studiów, ale nie wiemy dokładnie, dlaczego Piotr wyleciał ze studiów."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on wie o swoim kraju."
"Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki chce komputer."
"Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna ""Hobbita"".","Co rok czytam ""Władcę Pierścieni"", a moja dziewczyna czyta ""Hobbita""."
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.","Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny."
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego.","Nieznajomy dał mi prezent, ale nie wiem, dlaczego nieznajomy dał mi prezent."
"Kobiety wydają mi się ładne, mężczyźni uprzejmi, a dzieci grzeczne.","Kobiety wydają mi się ładne, mężczyźni uprzejmi, a dzieci grzeczne."
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.","Żukow prowadził swoją armię do Berlina z północy, a Koniew prowadził swoją armię do Berlina z południa."
"W zeszłym roku hodowaliśmy tylko ziemniaki, ale w tym roku i ziemniaki i ogórki.","W zeszłym roku hodowaliśmy tylko ziemniaki, ale w tym roku hodujemy i ziemniaki i ogórki."
A nie do Piotra?,A nie do Piotra?
"Tam spróbowałam pierwszy raz boczek, i też zrazy.","Tam spróbowałam pierwszy raz boczek, i też spróbowałam zrazy."
"Paweł gra na szkrzypcach, Jan na wiolonczeli, i Piotr na pianinie.","Paweł gra na skrzypcach, Jan na wiolonczeli, i Piotr na pianinie."
"Mój brat myśli, że lepiej polować z łukiem, niż z karabinem.","Mój brat myśli, że lepiej polować z łukiem, niż z karabinem."
"Nie umiem tańczyć tanga, ale chciałabym.","Nie umiem tańczyć tanga, ale chciałabym umieć."
"Teraz oni mówią po ukrainsku, nie po rosyjsku.","Teraz oni mówią po ukrainsku, nie po rosyjsku."
"Jutro przyniosę lód, a ty piwo.","Jutro przyniosę lód, a ty przyniesiesz piwo."
"On ma urodziny w czerwcu, i ona też.","On ma urodziny w czerwcu, i ona też ma urodziny w czerwcu."
"Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie.","Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie robią pracy domowej."
"Moja matka pracuje nie tylko przed południem, ale też po południu.","Moja matka pracuje nie tylko przed południem, ale też po południu."
"Maksymowi smakuje herbata, a Ewie kawa.","Maksymowi smakuje herbata, a Ewie smakuje kawa."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też zadałeś mu trzy pytania."
"My przyjechaliśmy ze swoimi kotami, a oni ze swoimi psami.","My przyjechaliśmy ze swoimi kotami, a oni przyjechali ze swoimi psami."
"Umiem sterować łódzią, ale nie samolotem.","Umiem sterować łódzią, ale nie umiem sterować samolotem."
"Oni się śmieją, ale nie wiemy z kogo.","Oni się śmieją, ale nie wiemy, z kogo się śmieją."
"Często przychodzą do niej sąsiedzi, a czasem krewni.","Często przychodzą do niej sąsiedzi, a czasem przychodzą krewni."
"Grzegorz gotuje makarony, a Weronika pesto.","Grzegorz gotuje makarony, a Weronika gotuje pesto."
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu.","One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu."
"Jego zabili, ale nie wiem dlaczego.","Jego zabili, ale nie wiem, dlaczego go zabili."
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.","Bardzo chcemy podróżować po Ukrainie, ale teraz nie możemy podróżować."
"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek drugą.","W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek czytaliśmy drugą."
"My uczymy się języków, a nasi przyjaciele biznesu.","My uczymy się języków, a nasi przyjaciele uczą się biznesu."
"Teraz w Ukrainie walczą z wrogami, a w Ameryce między sobą.","Teraz w Ukrainie walczą z wrogami, a w Ameryce walczą między sobą."
"On napisał muzykę do piosenki, a ona tekst.","On napisał muzykę do piosenki, a ona napisała tekst."
"On zawsze zamawia zimne dania, a ona gorące.","On zawsze zamawia zimne dania, a ona gorące dania."
"Codziennie rano ojciec je płatki śniadanowe, ale wieczorem stek.","Codziennie rano ojciec je płatki śniadanowe, ale wieczorem je stek."
"Wolę słuchać jego starych piosenek, niż nowych.","Wolę słuchać jego starych piosenek, niż nowych piosenek."
"Ja lubię piwo, a ty wino.","Ja lubię piwo, a ty lubisz wino."
"W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła mało.","W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła jem mało."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty też spróbowałeś boczek."
"Koszula jest dla mnie trochę za duża, a spodnie za małe.","Koszula jest dla mnie trochę za duża, a spodnie są dla mnie za małe."
"Ja planuję kupić samochód, a ty sprzedać.","Ja planuję kupić samochód, a ty planujesz sprzedać samochód."
"W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły mało.","W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły jem mało."
"Ojciec nie je białej cebuli, tylko czerwoną.","Ojciec nie je białej cebuli, tylko czerwoną je."
"Tam spróbowałem pierwszy raz boczek, i też zrazy.","Tam spróbowałem pierwszy raz boczek, i też zrazy."
"Mówię po polsku, ale źle.","Mówię po polsku, ale mówię źle."
"Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów.","Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów."
"W zoo lubię patrzyć na słonie, i siostra też.","W zoo lubię patrzyć na słonie, i siostra też lubi patrzeć na słonie."
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty gotujesz."
"Ona go zabiła, ale czym nie wiemy.","Ona go zabiła, ale nie wiemy, czym go zabiła."
"Chociaż chcieliśmy złamać prawo, nie odważyliśmy się.","Chociaż chcieliśmy złamać prawo, nie odważyliśmy się złamać prawa."
"Ja częściej piję whiskey, niż on wódkę.","Ja częściej piję whiskey, niż on pije wódkę."
"Chciałem piękniejszą czapkę, nie taką.","Chciałem piękniejszą czapkę, nie taką jaką dostałem."
"Oficerowie noszą czapki garnizonowe, a żołnierze piechoty proste furażerki.","Oficerowie noszą czapki garnizonowe, a żołnierze piechoty noszą proste furażerki."
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja ze śliwką.","Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja gotuję pierogi ze śliwką."
"Ona uważa go za dobrą osobę, a on ją.","Ona uważa go za dobrą osobę, a on uważa ją za dobrą osobę."
"Nie umiem gotować tak dobrze, jak ty.","Nie umiem gotować tak dobrze, jak ty umiesz gotować."
"Jako dziecko grałem w baseball, a mój przyjaciel w koszykówkę.","Jako dziecko grałem w baseball, a mój przyjaciel grał w koszykówkę."
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.","On dobrze gotuje zupę z mięsem, a ona dobrze gotuje zupę bez mięsa."
"Wszyscy nienawidzą naszego domu, ale lubią swój.","Wszyscy nienawidzą naszego domu, ale lubią swój dom."
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego.","Mnie się podoba ta piosenka, ale nie wiem, dlaczego mi się podoba."
Czy dużo?,Czy dużo?
"Elżbieta i Helena czytają gazetę, a Borys książkę.","Elżbieta i Helena czytają gazetę, a Borys czyta książkę."
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę.","Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę chodzić do kina."
Ja kocham ją i ona mnie.,Ja kocham ją i ona mnie kocha.
"Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego.","Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego ona wyszła."
"Musimy kogoś zapytać, ale nie wiemy kogo.","Musimy kogoś zapytać, ale nie wiemy, kogo zapytać."
"Maksymowi smakuje czekolada, a Ewie słodzycze.","Maksymowi smakuje czekolada, a Ewie smakują słodycze."
"Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczórem.","Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczorem."
"Przypadkowo zabrałem kubek, a siostra talerz.","Przypadkowo zabrałem kubek, a siostra talerz."
"Wolę jeść zrazy z wołowiną, a ty z wieprzowiną.","Wolę jeść zrazy z wołowiną, a ty wolisz jeść zrazy z wieprzowiną."
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty spróbowałeś zrazy."
"Zadałem mu trzy pytania, i tobie też.","Zadałem mu trzy pytania, i tobie też zadałem trzy pytania."
"Chciałam piękniejszą czapkę, nie taką.","Chciałam piękniejszą czapkę, nie taką jaką dostałam."
"On ma urodziny w czerwcu, a ona w październiku.","On ma urodziny w czerwcu, a ona w październiku."
"Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie.","Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie miasto opisuje."
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.","Do pizzy zawsze dodaję cebulę, a moja dziewczyna dodaje paprykę."
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?","Czy nie możesz odpowiedzieć, czy po prostu nie chcesz odpowiedzieć?"
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.","Lidia przeprowadzi się do Krakowa, a jej brat przeprowadzi się do Warszawy."
"My chcemy pojść na wycieczkę do muzeum, a wy do teatru.","My chcemy pojść na wycieczkę do muzeum, a wy chcecie pójść do teatru."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta bawią się dużymi zabawkami."
"Codziennie rano ojciec je płatki śniadanowe, i wieczorem też.","Codziennie rano ojciec je płatki śniadanowe, i wieczorem też je płatki śniadanowe."
Nienawidzę Marka i ty też.,Nienawidzę Marka i ty też go nienawidzisz.
"Lepiej stracić cały dzień, niż cały tydzień.","Lepiej stracić cały dzień, niż cały tydzień."
"Dobrze rozumiem matematykę, ale nie biologię.","Dobrze rozumiem matematykę, ale nie rozumiem biologii."
"Ona umarła w 1975, a jej mąż rok później w 1976.","Ona umarła w 1975, a jej mąż rok później w 1976 umarł."
"Ja przyprawię zupę papryką, a ty pieprzem.","Ja przyprawię zupę papryką, a ty przyprawisz zupę pieprzem."
"Przygotuję materiały na poniedziałek, a ty na wtorek.","Przygotuję materiały na poniedziałek, a ty przygotujesz materiały na wtorek."
"Chciałem herbatę z Chiny, nie z Indii.","Chciałem herbatę z Chin, nie z Indii."
