"Mówię po polsku, ale źle.","Mówię po polsku, ale źle mówię."
"Teraz oni mówią po ukrainsku, nie rosyjsku.","Teraz oni mówią po ukrainsku, oni nie mówią po rosyjsku."
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.","Do pizzy zawsze dodaję cebulę, a moja dziewczyna zawsze dodaje paprykę."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on wie o jej kraju."
"Przypadkowo zabrałem kubek, a siostra talerz.","Przypadkowo zabrałem kubek, a siostra przypadkowo zabrała talerz."
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę.","Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę chodzić do kina."
"Ja mogę widzieć bez okularów, ale moja żona nie może.","Ja mogę widzieć bez okularów, ale moja żona nie może widzieć bez okularów."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta bawią się dużymi zabawkami."
"Jerzy mieszka w Łodzi, a Mateusz w Warszawie.","Jerzy mieszka w Łodzi, a Mateusz mieszka w Warszawie."
"Nie umiem tańczyć, a mój brat pływać.","Nie umiem tańczyć, a mój brat nie umie pływać."
"Jako dziecko grałem w baseball, a mój przyjaciel w koszykówkę.","Jako dziecko grałem w baseball, a mój przyjaciel jako dziecko grał w koszykówkę"
"Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna ""Hobbita"".","Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna co rok czyta ""Hobbita""."
"On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję.","On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję że kiedyś wygra w lotto."
"Ja lubię piwo, a ty wino.","Ja lubię piwo, a ty lubisz wino."
"On dobrze rozumie matemetykę, i biologię też.","On dobrze rozumie matemetykę, i on dobrze rozumie biologię też."
"Chciałam piękniejszą czapkę, nie taką.","Chciałam piękniejszą czapkę, nie chciałam taką czapkę."
"Kobiety wydają mi się ładne, mężczyźni uprzejmi, a dzieci grzeczne.","Kobiety wydają mi się ładne, mężczyźni wydają mi się uprzejmi, a dzieci wydają mi się grzeczne."
"My pojedziemy do parku samochodem, a one rowerem.","My pojedziemy do parku samochodem, a one pojadą do parku rowerem."
"Oficerowie noszą czapki garnizonowe, a żołnierze piechoty proste furażerki.","Oficerowie noszą czapki garnizonowe, a żołnierze piechoty noszą proste furażerki."
"On zawsze zamawia zimne dania, a ona gorące.","On zawsze zamawia zimne dania, a ona zawsze zamawia gorące dania."
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.","Żukow prowadził swoją armię do Berlina z północy, a Koniew prowadził swoją armię do Berlina z południa."
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty gotujesz."
"W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły mało.","W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły jem mało lodów."
"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek drugą.","W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek czytaliśmy drugą część noweli."
"Moja matka pracuje nie tylko przed południem, ale też po południu.","Moja matka pracuje nie tylko przed południem, ale też pracuje po południu."
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej.","Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej muzyki."
"Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowego komputera, ale moja matka jeszcze nie wie, jakiej marki komputera ona chce."
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja ze śliwką.","Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a na Boże Narodzenie ja gotuję pierogi ze śliwką."
"Moi przyjaciele pojadą dotąd samolotem, a ja samochodem.","Moi przyjaciele pojadą dotąd samolotem, a ja pojadę samochodem."
"Sara chce narysować lódkę, a Piotr samolot.","Sara chce narysować lódkę, a Piotr chce narysować samolot."
"Jego zabili, ale nie wiem dlaczego.","Jego zabili, ale nie wiem dlaczego go zabili."
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.","Granica Finlandii z Rosją jest długa, granica Finlandii z Norwegią jest krótka, a granica Finlandii ze Szwecją jest średniej długości."
"Chciałem piękniejszą czapkę, nie taką.","Chciałem piękniejszą czapkę, nie chciałem taką czapkę."
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.","Lidia przeprowadzi się do Krakowa, a jej brat przeprowadzi się do Warszawy."
"Teraz w Ukrainie walczą z wrogami, a w Ameryce między sobą.","Teraz w Ukrainie walczą z wrogami, a w Ameryce walczą między sobą."
"Lepiej stracić cały dzień, niż cały tydzień.","Lepiej stracić cały dzień, niż stracić cały tydzień."
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego.","Nieznajomy dał mi prezent, ale nie wiem, dlaczego nieznajomy dał mi prezent."
"Marian często spotyka się z nowymy osobami, a Ewa rzadko.","Marian często spotyka się z nowymy osobami, a Ewa spotyka się z nowymy osobami rzadko."
"Oni przyszli do mnie nie w środę, a raczej w czwartek.","Oni przyszli do mnie nie w środę, a raczej oni przyszli do mnie w czwartek."
"Ona go zabiła, ale czym nie wiemy.","Ona go zabiła, ale czym go zabiła, nie wiemy."
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.","Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy podróźować po Ukrainie."
"On naprawił mój samochód, ale nie rozuiem jak.","On naprawił mój samochód, ale nie rozuiem jak on naprawił mój samochód."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty tam spróbowałaś pierwszy raz boczek też."
Maria lubi dzwonić do Iwana a nie do Piotra.,Maria lubi dzwonić do Iwana a nie ___ do Piotra.
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty tam spróbowałaś pierwszy raz zrazy."
"Maksymowi smakuje czekolada, a Ewie słodzycze.","Maksymowi smakuje czekolada, a Ewie smakują słodzycze."
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty tam spróbowałeś pierwszy raz zrazy."
"Tam spróbowałem pierwszy raz boczek, i też zrazy.","Tam spróbowałem pierwszy raz boczek, i też tam spróbowałem pierwszy raz zrazy."
"My chcemy pojść na wycieczkę do muzeum, a wy do teatru.","My chcemy pojść na wycieczkę do muzeum, a wy chcecie pojść na wycieczkę do teatru."
"My uczymy się języków, a nasi przyjaciele biznesu.","My uczymy się języków, a nasi przyjaciele uczą się biznesu."
A Nina na pianinie.,A Nina gra na pianinie.
"Przyszliśmy tu, bo chcieliśmy.","Przyszliśmy tu, bo chcieliśmy przyjść tu."
"Ona umarła w 1975, a jej mąż rok później w 1976.","Ona umarła w 1975, a jej mąż umarł rok później w 1976."
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co.","Coś kupili na rynku, ale jeszcze nam nie powiedzieli co kupili na rynku."
"Przygotuję materiały na poniedziałek, a ty na wtorek.","Przygotuję materiały na poniedziałek, a ty przygotujesz materiały na wtorek."
"Dobrze rozumiem matematykę, ale nie biologię.","Dobrze rozumiem matematykę, ale nie dobrze rozumiem biologię."
"Grzegorz gotuje makarony, a Weronika pesto.","Grzegorz gotuje makarony, a Weronika gotuje pesto."
"On napisał muzykę do piosenki, a ona tekst.","On napisał muzykę do piosenki, a ona napisała tekst do piosenki."
"Mój brat myśli, że lepiej polować z łukiem, niż z karabinem.","Mój brat myśli, że lepiej polować z łukiem, niż polować z karabinem."
"Ja planuję kupić samochód, a ty sprzedać.","Ja planuję kupić samochód, a ty planujesz sprzedać samochód."
"Tam spróbowałam pierwszy raz boczek, i też zrazy.","Tam spróbowałam pierwszy raz boczek, i też tam spróbowałam pierwszy raz zrazy."
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.","On dobrze gotuje zupę z mięsem, a ona dobrze gotuje zupę bez mięsa."
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.","Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego on wyleciał ze studiów."
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?","Czy nie możesz odpowiedzieć, czy poprostu nie chcesz odpowiedzieć?"
"Wczoraj coś mi się śniło, ale nie pamiętam co.","Wczoraj coś mi się śniło, ale nie pamiętam co mi się sniło."
"Moja matka chce nowy komputer, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowy komputer, ale moja matka jeszcze nie wie, jakiej marki komputer ona chce."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też zadałeś mu trzy pytania."
"On ma urodziny w czerwcu, i ona też.","On ma urodziny w czerwcu, i ona też ma urodziny w czerwcu."
"Jan pisze wiersze, a Bartek powieści.","Jan pisze wiersze, a Bartek pisze powieści."
Więc jakie!?,Więc jakie chcesz!?
