"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja rano.","Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja ___ rano."
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.","On dobrze gotuje zupę z mięsem, a ona ___ bez mięsa."
"Mój brat myśli, że lepiej polować łukiem, niż karabinem.","Mój brat myśli, że lepiej polować łukiem, niż ___ karabinem."
"Umiem sterować łódzią, ale nie samolotem.","Umiem sterować łódzią, ale nie ___ samolotem."
"Przygotuję materiały na poniedziałek, a ty na wtorek.","Przygotuję materiały na poniedziałek, a ty ___ na wtorek."
"Teraz oni mówią po ukrainsku, nie po rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ po rosyjsku."
"Teraz oni mówią po ukrainsku, nie rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ rosyjsku."
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?","Czy nie możesz odpowiedzieć, czy poprostu nie chcesz ___?"
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on ___."
"Kobiety wydają mi się ładne, mężczyźni uprzejmi, a dzieci grzeczne.","Kobiety wydają mi się ładne, mężczyźni ___ uprzejmi, a dzieci ___ grzeczne."
"Kasia gra na klarnecie, a Nina na pianinie.","Kasia gra na klarnecie, a Nina ___ na pianinie."
"Zadałem mu trzy pytania, i tobie też.","Zadałem mu trzy pytania, i ___ tobie ___ też."
"Ona mnie nie lubi, i ja jej.","Ona mnie nie lubi, i ja jej ___."
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty ___ zrazy."
"Grzegorz gotuje makarony, a Weronika pesto.","Grzegorz gotuje makarony, a Weronika ___ pesto."
Kocham ją i ona mnie.,___ Kocham ją i ona ___ mnie.
"Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie.","Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie ___."
"Teraz w Ukrainie walczą z wrogami, a w Ameryce między sobą.","Teraz w Ukrainie walczą z wrogami, a w Ameryce ___ między sobą."
"Sara chce narysować lódkę, a Piotr samolot.","Sara chce narysować lódkę, a Piotr ___ samolot."
"On naprawił mój samochód, ale nie rozuiem jak.","On naprawił mój samochód, ale nie rozuiem jak ___."
"Oni się śmieją, ale nie wiemy z kogo.","Oni się śmieją, ale nie wiemy z kogo ___."
"Dobrze rozumiem matematykę, ale nie biologię.","Dobrze rozumiem matematykę, ale nie ___ biologię."
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.","Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec ___ na pingwiny."
"Jan pisze wiersze, a Bartek powieści.","Jan pisze wiersze, a Bartek ___ powieści."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on ___."
"Jutro przyniosę lód, a ty piwo.","Jutro przyniosę lód, a ty ___ piwo."
"Codziennie rano ojciec je płatki śniadanowe, i wieczorem też.","Codziennie rano ojciec je płatki śniadanowe, i ___ wieczorem ___ też."
Maria lubi dzwonić do Iwana a nie do Piotra.,Maria lubi dzwonić do Iwana a nie ___ do Piotra.
"Jako dziecko grałem w baseball, a mój przyjaciel w koszykówkę.","Jako dziecko grałem w baseball, a mój przyjaciel ___ w koszykówkę."
"Nie umiem tańczyć tanga, ale chciałabym.","Nie umiem tańczyć tanga, ale chciałabym ___."
Dlaczego?,Dlaczego ___?
"Tam spróbowałam pierwszy raz boczek, i też zrazy.","Tam spróbowałam pierwszy raz boczek, i też ___ zrazy."
"My pojedziemy do parku samochodem, a one rowerem.","My pojedziemy do parku samochodem, a one ___ rowerem."
A Nina na pianinie.,A Nina ___ na pianinie.
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też ___."
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu.","One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu ___."
"My uczymy się języków, a nasi przyjaciele biznesu.","My uczymy się języków, a nasi przyjaciele ___ biznesu."
"On zawsze zamawia zimne dania, a ona gorące.","On zawsze zamawia zimne dania, a ona ___ gorące ___."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta ___ dużymi ___."
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego.","Nieznajomy dał mi prezent, ale nie wiem, dlaczego ___."
"Musimy kogoś zapytać, ale nie wiemy kogo.","Musimy kogoś zapytać, ale nie wiemy kogo ___."
"Przypadkowo zabrałem kubek, a siostra talerz.","Przypadkowo zabrałem kubek, a siostra ___ talerz."
"Koszula jest dla mnie trochę za duża, a spodnie za małe.","Koszula jest dla mnie trochę za duża, a spodnie ___ za małe."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty ___ też."
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.","Do pizzy zawsze dodaję cebulę, a moja dziewczyna ___ paprykę."
"Ja lubię piwo, a ty wino.","Ja lubię piwo, a ty ___ wino."
"Chcę pojechać za granicę, ale nie wiem, gdzie.","Chcę pojechać za granicę, ale nie wiem, gdzie ___."
"Nie umiem gotować tak dobrze, jak ty.","Nie umiem gotować tak dobrze, jak ty ___."
Więc jakie!?,Więc jakie ___!?
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty ___."
"W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła mało.","W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła ___ mało ___."
"Paweł gra na szkrzypcach, Jan na wiolonczeli, i Piotr na pianinie.","Paweł gra na szkrzypcach, Jan ___ na wiolonczeli, i Piotr ___ na pianinie."
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.","Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego ___."
"Nie jem tyle, ile on.","Nie jem tyle, ile on ___."
"Jego zabili, ale nie wiem dlaczego.","Jego zabili, ale nie wiem dlaczego ___."
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.","Żukow prowadził swoją armię do Berlina z północy, a Koniew ___ z południa."
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co.","Coś kupili na rynku, ale jeszcze nam nie powiedzieli co ___."
"Ja mam sprzątnąć pokój dziś, a ty _ jutro.","Ja mam sprzątnąć pokój dziś, a ty ____ jutro."
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.","Lidia przeprowadzi się do Krakowa, a jej brat ___ do Warszawy."
"Ona go zabiła, ale czym nie wiemy.","Ona go zabiła, ale czym ___ nie wiemy."
"Zadałem mu trzy pytania, a jej tylko dwa.","Zadałem mu trzy pytania, a ___ jej tylko dwa ___."
"Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów.","Nie wiemy dokładnie dlaczego ___, ale wiemy, że Piotr wyleciał ze studiów."
Czy dużo?,Czy dużo ___?
"Ojciec nie je białej cebuli, tylko czerwoną.","Ojciec nie je białej cebuli, ___ tylko czerwoną ___."
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.","Granica Finlandii z Rosją jest długa, _____ z Norwegią ____ krótka, a _____ ze Szwecją ____ średniej długości."
