"Jan pisze wiersze, a Bartek powieści.","Jan pisze wiersze, a Bartek ___ powieści."
"Mój brat myśli, że lepiej polować łukiem, niż karabinem.","Mój brat myśli, że lepiej polować łukiem, niż ___ karabinem."
Moi rodzice mieszkają w Łodzi i siostra też.,Moi rodzice mieszkają w Łodzi i siostra też ___.
"Ja lubię piwo, a ty wino.","Ja lubię piwo, a ty ___ wino."
"Oni mogą biegać szybciej, niż ja.","Oni mogą biegać szybciej, niż ja ___."
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty ___ zrazy."
"Przypadkowo zabrałem kubek, a siostra talerz.","Przypadkowo zabrałem kubek, a siostra ___ talerz."
"Ona go zabiła, ale czym nie wiemy.","Ona go zabiła, ale czym ___ nie wiemy."
Czy dużo?,Czy dużo ___?
"Zadałem mu trzy pytania, a jej tylko dwa.","Zadałem mu trzy pytania, a ___ jej tylko dwa ___."
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.","Żukow prowadził swoją armię do Berlina z północy, a Koniew ___ z południa."
"Moja matka pracuje nie tylko przed południem, ale też po południu.","Moja matka pracuje nie tylko przed południem, ale też ___ po południu."
"On dobrze rozumie matemetykę, i biologię też.","On dobrze rozumie matemetykę, i ___ biologię też."
Ja kocham ją i ona mnie.,Ja kocham ją i ona ___ mnie.
"On ma urodziny w czerwcu, i ona też.","On ma urodziny w czerwcu, i ona też ___."
"Nie umiem tańczyć, a mój brat pływać.","Nie umiem tańczyć, a mój brat ___ pływać."
"Moja matka chce nowy komputer, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowy komputer, ale ___ jeszcze nie wie, jakiej marki ___."
"Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego.","Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego ___."
"Musimy kogoś zapytać, ale nie wiemy kogo.","Musimy kogoś zapytać, ale nie wiemy kogo ___."
"My pojedziemy do parku samochodem, a one rowerem.","My pojedziemy do parku samochodem, a one ___ rowerem."
"Grzegorz gotuje makarony, a Weronika pesto.","Grzegorz gotuje makarony, a Weronika ___ pesto."
"On ma urodziny w czerwcu, a ona w październiku.","On ma urodziny w czerwcu, a ona ___ w październiku."
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego.","Mnie się podoba ta piosenka, ale nie wiem, dlaczego ___."
"Przygotuję materiały na poniedziałek, a ty na wtorek.","Przygotuję materiały na poniedziałek, a ty ___ na wtorek."
"Wolę słuchać jego starych piosenek, niż nowych.","Wolę słuchać jego starych piosenek, niż ___ nowych ___."
"Demokraci głosują za nowym prawem, ale Republikanie przciew.","Demokraci głosują za nowym prawem, ale Republikanie ___ przciew ___."
"Oni się śmieją, ale nie wiemy z kogo.","Oni się śmieją, ale nie wiemy z kogo ___."
"Mój brat myśli, że lepiej polować z łukiem, niż z karabinem.","Mój brat myśli, że lepiej polować z łukiem, niż ___ z karabinem."
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.","Lidia przeprowadzi się do Krakowa, a jej brat ___ do Warszawy."
Jan uśmiecha się i Paweł wie dlaczego.,Jan uśmiecha się i Paweł wie dlaczego ___.
"Teraz w Ukrainie walczą z wrogami, a w Ameryce między sobą.","Teraz w Ukrainie walczą z wrogami, a w Ameryce ___ między sobą."
"Tam spróbowałem pierwszy raz boczek, i też zrazy.","Tam spróbowałem pierwszy raz boczek, i też ___ zrazy."
"On mówi z obcym akcentem, ale nie wiemy dlaczego.","On mówi z obcym akcentem, ale nie wiemy dlaczego ___."
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.","Granica Finlandii z Rosją jest długa, _____ z Norwegią ____ krótka, a _____ ze Szwecją ____ średniej długości."
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.","Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy ___."
Ojcowi.,Ojcowi ___.
"Kasia gra na klarnecie, a Nina na pianinie.","Kasia gra na klarnecie, a Nina ___ na pianinie."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on ___."
"Lepiej stracić cały dzień, niż cały tydzień.","Lepiej stracić cały dzień, niż ___ cały tydzień."
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty ___."
"Ona umarła w 1975, a jej mąż rok później w 1976.","Ona umarła w 1975, a jej mąż ___ rok później w 1976."
A Nina na pianinie.,A Nina ___ na pianinie.
"Chciałam piękniejszą czapkę, nie taką.","Chciałam piękniejszą czapkę, nie ___ taką ___."
"Koszula jest dla mnie trochę za duża, a spodnie za małe.","Koszula jest dla mnie trochę za duża, a spodnie ___ za małe."
"On naprawił mój samochód, ale nie rozuiem jak.","On naprawił mój samochód, ale nie rozuiem jak ___."
"W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła mało.","W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła ___ mało ___."
"Maksymowi smakuje herbata, a Ewie kawa.","Maksymowi smakuje herbata, a Ewie ___ kawa."
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja ze śliwką.","Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ___ ja ___ ze śliwką."
"Oficerowie noszą czapki garnizonowe, a żołnierze piechoty proste furażerki.","Oficerowie noszą czapki garnizonowe, a żołnierze piechoty ___ proste furażerki."
"Ojciec zawsze narzeka, a ja nigdy nie.","Ojciec zawsze narzeka, a ja nigdy nie ___."
"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja rano.","Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja ___ rano."
Co roku on przypadkowo rozbija kubek i jego matka też.,Co roku on przypadkowo rozbija kubek i jego matka też ___.
"On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję.","On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję ___."
"Nie umiem tańczyć tanga, ale chciałabym.","Nie umiem tańczyć tanga, ale chciałabym ___."
"Nie umiem tańczyć tanga, ale chciałabym.","Nie umiem tańczyć tanga, ale chciałabym ___."
"Mówię po polsku, ale źle.","Mówię po polsku, ale źle ___."
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.","Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec ___ na pingwiny."
"Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna ""Hobbita"".","Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna ___ ""Hobbita""."
"Kobiety wydają mi się ładne, mężczyźni uprzejmi, a dzieci grzeczne.","Kobiety wydają mi się ładne, mężczyźni ___ uprzejmi, a dzieci ___ grzeczne."
"Maksymowi smakuje czekolada, a Ewie słodzycze.","Maksymowi smakuje czekolada, a Ewie ___ słodzycze."
Więc jakie!?,Więc jakie ___!?
"Codziennie rano ojciec je płatki śniadanowe, i wieczorem też.","Codziennie rano ojciec je płatki śniadanowe, i ___ wieczorem ___ też."
"W zeszłym roku hodowaliśmy tylko ziemniaki, ale w tym roku i ziemniaki i ogórki.","W zeszłym roku hodowaliśmy tylko ziemniaki, ale w tym roku ___ i ziemniaki i ogórki."
"Ona uważa go za dobrą osobę, a on ją.","Ona uważa go za dobrą osobę, a on ___ ją ___."
"Chciałem piękniejszą czapkę, nie taką.","Chciałem piękniejszą czapkę, nie ___ taką ___."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty ___ też."
A nie do Piotra?,A nie ___ do Piotra?
"Ja mam sprzątnąć pokój dziś, a ty _ jutro.","Ja mam sprzątnąć pokój dziś, a ty ____ jutro."
Kocham ją i ona mnie.,___ Kocham ją i ona ___ mnie.
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy.","Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy ___."
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę.","Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę ___."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też ___."
"Umiem sterować łódzią, ale nie samolotem.","Umiem sterować łódzią, ale nie ___ samolotem."
"Moi przyjaciele pojadą dotąd samolotem, a ja samochodem.","Moi przyjaciele pojadą dotąd samolotem, a ja ___ samochodem."
"Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie.","Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie ___."
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej.","Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej ___."
"My przyjechaliśmy ze swoimi kotami, a oni ze swoimi psami.","My przyjechaliśmy ze swoimi kotami, a oni ___ ze swoimi psami."
"Oni kupili dmuchany zamek, ale nie wiadomo komu.","Oni kupili dmuchany zamek, ale nie wiadomo komu ___."
"Nie umiem gotować tak dobrze, jak ty.","Nie umiem gotować tak dobrze, jak ty ___."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty ___ też."
"Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie.","Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie ___."
"A więc: ty idziesz do kierowca, a ja na koniec autobusa.","A więc: ty idziesz do kierowca, a ja ___ na koniec autobusa."
"Dobrze rozumiem matematykę, ale nie biologię.","Dobrze rozumiem matematykę, ale nie ___ biologię."
"Wczoraj coś mi się śniło, ale nie pamiętam co.","Wczoraj coś mi się śniło, ale nie pamiętam co ___."
"Jutro przyniosę lód, a ty piwo.","Jutro przyniosę lód, a ty ___ piwo."
"Chciałem herbatę z Chiny, nie z Indii.","Chciałem herbatę z Chiny, nie ___ z Indii."
"Nie chciałem, ale wczoraj poszliśmy do kina.","Nie chciałem ___, ale wczoraj poszliśmy do kina."
"Ona mnie nie lubi, i ja jej.","Ona mnie nie lubi, i ja jej ___."
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?","Czy nie możesz odpowiedzieć, czy poprostu nie chcesz ___?"
"Zadałem mu trzy pytania, i tobie też.","Zadałem mu trzy pytania, i ___ tobie ___ też."
"Przyszliśmy tu, bo chcieliśmy.","Przyszliśmy tu, bo chcieliśmy ___."
"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek drugą.","W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek ___ drugą ___."
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.","Do pizzy zawsze dodaję cebulę, a moja dziewczyna ___ paprykę."
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.","On dobrze gotuje zupę z mięsem, a ona ___ bez mięsa."
"Teraz oni mówią po ukrainsku, nie po rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ po rosyjsku."
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego.","Nieznajomy dał mi prezent, ale nie wiem, dlaczego ___."
"Ja mogę widzieć bez okularów, ale moja żona nie może.","Ja mogę widzieć bez okularów, ale moja żona nie może ___."
"Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów.","Nie wiemy dokładnie dlaczego ___, ale wiemy, że Piotr wyleciał ze studiów."
"W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły mało.","W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły ___ mało ___."
"Chcę pojechać za granicę, ale nie wiem, gdzie.","Chcę pojechać za granicę, ale nie wiem, gdzie ___."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też ___."
Dlaczego?,Dlaczego ___?
Nienawidzę Marka i ty też.,Nienawidzę Marka i ty też ___.
Nienawidzę Marka i ciebie też.,Nienawidzę Marka i ciebie też ___.
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu.","One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu ___."
"Oni przyszli do mnie nie w środę, a raczej w czwartek.","Oni przyszli do mnie nie w środę, a raczej ___ w czwartek."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on ___."
Maria lubi dzwonić do Iwana a nie do Piotra.,Maria lubi dzwonić do Iwana a nie ___ do Piotra.
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.","Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego ___."
"Nie jem tyle, ile on.","Nie jem tyle, ile on ___."
"My chcemy pojść na wycieczkę do muzeum, a wy do teatru.","My chcemy pojść na wycieczkę do muzeum, a wy ___ do teatru."
"Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczórem.","Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną ___ wieczórem."
"Ja planuję kupić samochód, a ty sprzedać.","Ja planuję kupić samochód, a ty ___ sprzedać ___."
"Marian często spotyka się z nowymy osobami, a Ewa rzadko.","Marian często spotyka się z nowymy osobami, a Ewa ___ rzadko."
"W zoo lubię patrzyć na słonie, i siostra też.","W zoo lubię patrzyć na słonie, i ___ siostra też ___."
"Wszyscy nienawidzą naszego domu, ale lubią swój.","Wszyscy nienawidzą naszego domu, ale ___ lubią swój ___."
"Sara chce narysować lódkę, a Piotr samolot.","Sara chce narysować lódkę, a Piotr ___ samolot."
"On napisał muzykę do piosenki, a ona tekst.","On napisał muzykę do piosenki, a ona ___ tekst ___."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta ___ dużymi ___."
"Przyprawię zupę najpierw papryką, i potem pieprzem.","Przyprawię zupę najpierw papryką, i potem ___ pieprzem."
"Elżbieta i Helena czytają gazetę, a Borys książkę.","Elżbieta i Helena czytają gazetę, a Borys ___ książkę."
"Ojciec nie je białej cebuli, tylko czerwoną.","Ojciec nie je białej cebuli, ___ tylko czerwoną ___."
"Jerzy mieszka w Łodzi, a Mateusz w Warszawie.","Jerzy mieszka w Łodzi, a Mateusz ___ w Warszawie."
"Ja przyprawię zupę papryką, a ty pieprzem.","Ja przyprawię zupę papryką, a ty ___ pieprzem."
"Często przychodzą do niej sąsiedzi, a czasem krewni.","Często przychodzą do niej sąsiedzi, a czasem ___ krewni."
"Wolę jeść zrazy z wołowiną, a ty z wieprzowiną.","Wolę jeść zrazy z wołowiną, a ty ___ z wieprzowiną."
"Ja częściej piję whiskey, niż on wódkę.","Ja częściej piję whiskey, niż on ___ wódkę."
"Jako dziecko grałem w baseball, a mój przyjaciel w koszykówkę.","Jako dziecko grałem w baseball, a mój przyjaciel ___ w koszykówkę."
"Teraz oni mówią po ukrainsku, nie rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ rosyjsku."
"On zawsze zamawia zimne dania, a ona gorące.","On zawsze zamawia zimne dania, a ona ___ gorące ___."
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co.","Coś kupili na rynku, ale jeszcze nam nie powiedzieli co ___."
"Chociaż chcieliśmy złamać prawo, nie odważyliśmy się.","Chociaż chcieliśmy złamać prawo, nie odważyliśmy się ___."
