"Ona uważa go za dobrą osobę, a on ją.",1
"Przygotuję materiały na poniedziałek, a ty na wtorek.",1
"Tam spróbowałem pierwszy raz boczek, i też zrazy.",1
"Ona uważa go za dobrą osobę, a on uważa ją za dobrą osobę.",0
"Mój brat myśli, że lepiej polować łukiem, niż polować karabinem.",0
"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja zawsze biorę prysznic rano.",0
"Moja matka pracuje nie tylko przed południem, ale też pracuje po południu.",0
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.",1
"On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję.",1
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.",1
"Maksymowi smakuje czekolada, a Ewie smakują słodzycze.",0
"Wczoraj coś mi się śniło, ale nie pamiętam co mi się sniło.",0
"Marian często spotyka się z nowymy osobami, a Ewa rzadko.",1
"Ona wie więcej o swoim kraju, niż on wie o swoim kraju.",0
"Jego zabili, ale nie wiem dlaczego go zabili.",0
"On naprawił mój samochód, ale nie rozuiem jak.",1
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja ze śliwką.",1
"Mówię po polsku, ale źle.",1
"Zadałem mu trzy pytania, i ty też zadałaś mu trzy pytania.",0
"Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie miasto osoba opisuje.",0
"Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczórem.",1
"Oni przyszli do mnie nie w środę, a raczej w czwartek.",1
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu.",1
"My pojedziemy do parku samochodem, a one pojadą do parku rowerem.",0
"On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję że kiedyś wygra w lotto.",0
Jan uśmiecha się i Paweł wie dlaczego Jan uśmiecha się.,0
"Moja matka chce nowy komputer, ale moja matka jeszcze nie wie, jakiej marki komputer ona chce.",0
"Maksymowi smakuje czekolada, a Ewie słodzycze.",1
"Maksymowi smakuje herbata, a Ewie smakuje kawa.",0
"Jako dziecko grałem w baseball, a mój przyjaciel jako dziecko grał w koszykówkę",0
"On ma urodziny w czerwcu, i ona też.",1
Nienawidzę Marka i ty też.,1
Ja kocham ją i ona kocha mnie.,0
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu pojechać nad jezioro.",0
"Tam spróbowałem pierwszy raz boczek, i ty tam spróbowałeś pierwszy raz boczek też.",0
"Ja planuję kupić samochód, a ty planujesz sprzedać samochód.",0
"Teraz w Ukrainie walczą z wrogami, a w Ameryce walczą między sobą.",0
"Tam spróbowałam pierwszy raz boczek, i też tam spróbowałam pierwszy raz zrazy.",0
"Wszyscy nienawidzą naszego domu, ale lubią swój.",1
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.",1
"Ona mnie nie lubi, i ja jej nie lubię.",0
"Paweł gra na szkrzypcach, Jan na wiolonczeli, i Piotr na pianinie.",1
"Oni przyszli do mnie nie w środę, a raczej oni przyszli do mnie w czwartek.",0
"Nie umiem tańczyć tanga, ale chciałabym.",1
"Ona mnie nie lubi, i ja jej.",1
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz odpowiedzieć?",0
"Teraz oni mówią po ukrainsku, oni nie mówią po rosyjsku.",0
"Przyszliśmy tu, bo chcieliśmy przyjść tu.",0
"Nie umiem tańczyć tanga, ale chciałabym.",1
"Moja matka chce nowego komputera, ale moja matka jeszcze nie wie, jakiej marki komputera ona chce.",0
"Umiem sterować łódzią, ale nie samolotem.",1
"A więc: ty idziesz do kierowca, a ja idę na koniec autobusa.",0
"Marian często spotyka się z nowymy osobami, a Ewa spotyka się z nowymy osobami rzadko.",0
"Ja planuję kupić samochód, a ty sprzedać.",1
Nienawidzę Marka i ciebie też nienawidzę.,0
"Oni się śmieją, ale nie wiemy z kogo.",1
"W zoo lubię patrzyć na słonie, i siostra też.",1
"Nie jem tyle, ile on je.",0
"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja rano.",1
Co roku on przypadkowo rozbija kubek i jego matka też.,1
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę.",1
"Kasia gra na klarnecie, a Nina na pianinie.",1
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.",1
Więc jakie!?,1
"Wolę słuchać jego starych piosenek, niż słuchać jego nowych piosenek.",0
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a na Boże Narodzenie ja gotuję pierogi ze śliwką.",0
"Sara chce narysować lódkę, a Piotr chce narysować samolot.",0
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy pójdziemy do baru.",0
Czy dużo?,1
"Chcę pojechać za granicę, ale nie wiem, gdzie.",1
"W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły jem mało lodów.",0
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?",1
"Koszula jest dla mnie trochę za duża, a spodnie są dla mnie trochę za małe.",0
"Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki.",1
"Wolę słuchać jego starych piosenek, niż nowych.",1
Nienawidzę Marka i ty też nienawidzisz Marka.,0
"Kasia gra na klarnecie, a Nina gra na pianinie.",0
"Demokraci głosują za nowym prawem, ale Republikanie głosują przciew nowemu prawu.",0
"Ja mam sprzątnąć pokój dziś, a ty masz sprzątnąć pokój jutro.",0
"Chciałem herbatę z Chiny, nie z Indii.",1
"Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego ona wstała i wyszła.",0
"Zadałem mu trzy pytania, i tobie też.",1
"Często przychodzą do niej sąsiedzi, a czasem przychodzą do niej krewni.",0
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę chodzić do kina.",0
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.",1
"On ma urodziny w czerwcu, a ona ma urodziny w październiku.",0
"Przyprawię zupę najpierw papryką, i potem przyprawię zupę pieprzem.",0
"Ja lubię piwo, a ty wino.",1
Maria lubi dzwonić do Iwana a nie do Piotra.,1
"Jutro przyniosę lód, a ty przynieszesz piwo.",0
"Oni mogą biegać szybciej, niż ja.",1
"Ja przyprawię zupę papryką, a ty pieprzem.",1
"Dobrze rozumiem matematykę, ale nie biologię.",1
Nienawidzę Marka i ciebie też.,1
"Przygotuję materiały na poniedziałek, a ty przygotujesz materiały na wtorek.",0
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.",1
"Nie chciałem, ale wczoraj poszliśmy do kina.",1
"Wczoraj coś mi się śniło, ale nie pamiętam co.",1
"Nie umiem tańczyć tanga, ale chciałabym umieć tańczyć tanga.",0
Więc jakie chcesz!?,0
"Co rok czytam ""Wadcę Pierścieni"", a moja dziewczyna co rok czyta ""Hobbita"".",0
"Chociaż chcieliśmy złamać prawo, nie odważyliśmy się złamać prawa.",0
Ja kocham ją i ona kocha mnie.,0
"On zawsze zamawia zimne dania, a ona gorące.",1
"Elżbieta i Helena czytają gazetę, a Borys książkę.",1
Czy dużo niemcy piją piwa?,0
"Grzegorz gotuje makarony, a Weronika gotuje pesto.",0
"Moja matka pracuje nie tylko przed południem, ale też po południu.",1
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej muzyki.",0
"Jutro przyniosę lód, a ty piwo.",1
Jan uśmiecha się i Paweł wie dlaczego.,1
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego.",1
"Chciałam piękniejszą czapkę, nie taką.",1
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.",1
"Umiem sterować łódzią, ale nie umiem sterować samolotem.",0
A Nina na pianinie.,1
"Maksymowi smakuje herbata, a Ewie kawa.",1
"My chcemy pojść na wycieczkę do muzeum, a wy chcecie pojść na wycieczkę do teatru.",0
"On ma urodziny w czerwcu, a ona w październiku.",1
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.",1
Ja kocham ją i ona mnie.,1
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy.",1
"Teraz oni mówią po ukrainsku, nie po rosyjsku.",1
"Lepiej stracić cały dzień, niż cały tydzień.",1
Moi rodzice mieszkają w Łodzi i siostra też mieszka w Łodzi.,0
Ojcowi kupili samchód.,0
"Zadałem mu trzy pytania, i ty też.",1
"Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie robią pracy domowej.",0
"Chciałem piękniejszą czapkę, nie chciałem taką czapkę.",0
"Codziennie rano ojciec je płatki śniadanowe, ale wieczorem stek.",1
"Ja przyprawię zupę papryką, a ty przyprawisz zupę pieprzem.",0
"Chciałem piękniejszą czapkę, nie taką.",1
