"Ona wie więcej o swoim kraju, niż on wie o jej kraju.",0
"Wolę jeść zrazy z wołowiną, a ty wolisz jeść zrazy z wieprzowiną.",0
"W dzieciństwie jadłem dużo lodów, ale teraz jako dorosły mało.",1
Nienawidzę Marka i ciebie też.,1
"W zoo lubię patrzyć na słonie, i w zoo siostra też lubi patrzyć na słonie.",0
"Umiem sterować łódzią, ale nie samolotem.",1
"On mówi z obcym akcentem, ale nie wiemy dlaczego on mówi z obcym akcentem.",0
Ja kocham ją i ona kocha mnie.,0
"On ma urodziny w czerwcu, a ona w październiku.",1
"Wszyscy nienawidzą naszego domu, ale lubią swój.",1
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego nieznajomy dał mi prezent.",0
Jan uśmiecha się i Paweł wie dlaczego Jan uśmiecha się.,0
"Do pizzy zawsze dodaję cebulę, a moja dziewczyna paprykę.",1
"Codziennie rano ojciec je płatki śniadanowe, i codziennie wieczorem ojciec je płatki śniadanowe też.",0
"Zadałem mu trzy pytania, i ty też.",1
"Przyprawię zupę najpierw papryką, i potem przyprawię zupę pieprzem.",0
"Jego zabili, ale nie wiem dlaczego.",1
"Paweł gra na szkrzypcach, Jan na wiolonczeli, i Piotr na pianinie.",1
"Na Boże Narodzenie moja siostra gotuje pierogi z ziemniakami, a ja ze śliwką.",1
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.",1
"Ona wie więcej o swoim kraju, niż on.",1
"Nie umiem tańczyć, a mój brat pływać.",1
"Ja lubię piwo, a ty lubisz wino.",0
"Wolę jeść zrazy z wołowiną, a ty z wieprzowiną.",1
"Chciałem herbatę z Chiny, nie z Indii.",1
Co roku on przypadkowo rozbija kubek i jego matka też co roku przypadkowo rozbija kubek.,0
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co kupili na rynku.",0
"My przyjechaliśmy ze swoimi kotami, a oni ze swoimi psami.",1
"On mówi z obcym akcentem, ale nie wiemy dlaczego.",1
"Ja planuję kupić samochód, a ty sprzedać.",1
"On zawsze zamawia zimne dania, a ona gorące.",1
"Mój brat myśli, że lepiej polować z łukiem, niż polować z karabinem.",0
"A więc: ty idziesz do kierowca, a ja na koniec autobusa.",1
"Oni przyszli do mnie nie w środę, a raczej w czwartek.",1
"Musimy kogoś zapytać, ale nie wiemy kogo zapytać.",0
"Kobiety wydają mi się ładne, mężczyźni wydają mi się uprzejmi, a dzieci wydają mi się grzeczne.",0
"Jan pisze wiersze, a Bartek pisze powieści.",0
"Jerzy mieszka w Łodzi, a Mateusz mieszka w Warszawie.",0
"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek czytaliśmy drugą część noweli.",0
A Nina na pianinie.,1
"Kasia gra na klarnecie, a Nina na pianinie.",1
"Wolę słuchać jego starych piosenek, niż słuchać jego nowych piosenek.",0
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego mi się podoba ta piosenka.",0
